expected_l1,l1,b1,p11,c1,cl1,d1,d1_std,d11,d12,d11_std,d12_st,drop1,d1_99,d1_90
1,5,0,0,1,5,0.10294866561889648,0.003290368889968556,0,0.10294866561889648,0,0.003290368889968556,0,0.10869152069091798,0.10669441223144531
1,5,0,0,1,5,0.1030806541442871,0.003890756357458896,0,0.1030806541442871,0,0.003890756357458896,0,0.10812193870544434,0.10784358978271484
1,5,0,0,1,5,0.10296292304992676,0.0023024316670785137,0,0.10296292304992676,0,0.0023024316670785137,0,0.1070804500579834,0.10572209358215331
1,5,0,0,1,5,0.10316681861877441,0.002871692111724295,0,0.10316681861877441,0,0.002871692111724295,0,0.10835471153259277,0.10651063919067383
1,5,0,0,1,5,0.12018823623657227,0.03535889430648621,0,0.12018823623657227,0,0.03535889430648621,0,0.18736437797546387,0.15609660148620608
1,5,0.2,0,1,5,0.10470814704895019,0.004322171686738346,0,0.10470814704895019,0,0.004322171686738346,0,0.11122983932495117,0.11006631851196289
1,5,0.2,0,1,5,0.10335321426391601,0.0038519963291029106,0,0.10335321426391601,0,0.0038519963291029106,0,0.10832731246948242,0.10807771682739258
1,5,0.2,0,1,5,0.10548896789550781,0.002128114986634626,0,0.10548896789550781,0,0.002128114986634626,0,0.1078321361541748,0.10769214630126953
1,5,0.2,0,1,5,0.11984434127807617,0.035967786990892994,0,0.11984434127807617,0,0.035967786990892994,0,0.18821462631225586,0.15630354881286623
1,5,0.2,0,1,5,0.10242915153503418,0.0030294526623606383,0,0.10242915153503418,0,0.0030294526623606383,0,0.10724128723144531,0.10592498779296874
1,5,0.4,0,1,5,0.10191502571105956,0.0037032382467908683,0,0.10191502571105956,0,0.0037032382467908683,0,0.10710803031921387,0.10650215148925782
1,5,0.4,0,1,5,0.10008654594421387,0.0012261458278267053,0,0.10008654594421387,0,0.0012261458278267053,0,0.10182305335998536,0.10134634971618653
1,5,0.4,0,1,5,0.11976404190063476,0.03727995878996867,0,0.11976404190063476,0,0.03727995878996867,0,0.19062625885009765,0.15840859413146974
1,5,0.4,0,1,5,0.09923462867736817,0.001312786747934761,0,0.09923462867736817,0,0.001312786747934761,0,0.10081857681274414,0.10070648193359374
1,5,0.4,0,1,5,0.09859309196472169,0.0010358848068619843,0,0.09859309196472169,0,0.0010358848068619843,0,0.09966658592224122,0.09957423210144042
1,5,0.6,0,1,5,0.11840333938598632,0.036815013337175344,0,0.11840333938598632,0,0.036815013337175344,0,0.18839385986328125,0.15681915283203127
1,5,0.6,0,1,5,0.10132031440734864,0.0017899425722223547,0,0.10132031440734864,0,0.0017899425722223547,0,0.10409662246704102,0.10331959724426269
1,5,0.6,0,1,5,0.10173993110656739,0.003519285084227531,0,0.10173993110656739,0,0.003519285084227531,0,0.1067724323272705,0.10606870651245118
1,5,0.6,0,1,5,0.10026860237121582,0.0028880556131166035,0,0.10026860237121582,0,0.0028880556131166035,0,0.10536933898925781,0.10374078750610352
1,5,0.6,0,1,5,0.09888052940368652,0.001151093265262854,0,0.09888052940368652,0,0.001151093265262854,0,0.10083075523376465,0.10017380714416504
1,5,0.8,0,1,5,0.10179424285888672,0.0037802232867078667,0,0.10179424285888672,0,0.0037802232867078667,0,0.10641244888305663,0.10571756362915039
1,5,0.8,0,1,5,0.09950861930847169,0.0035540494158173555,0,0.09950861930847169,0,0.0035540494158173555,0,0.10570788383483887,0.10358572006225586
1,6,0.8,0,1,6,0.1012413501739502,0.003617653738336119,0,0.1012413501739502,0,0.003617653738336119,0,0.10571516752243042,0.10539877414703369
1,5,0.8,0,1,5,0.09951443672180176,0.0035940316302245784,0,0.09951443672180176,0,0.0035940316302245784,0,0.10519804000854492,0.10397615432739257
1,5,0.8,0,1,5,0.10099129676818848,0.0029437423974456715,0,0.10099129676818848,0,0.0029437423974456715,0,0.10469376564025878,0.10458536148071289
1,5,1,0,1,5,0.09884638786315918,0.0034776779841935376,0,0.09884638786315918,0,0.0034776779841935376,0,0.10536421775817871,0.1025308609008789
1,5,1,0,1,5,0.09867501258850098,0.003526984588339782,0,0.09867501258850098,0,0.003526984588339782,0,0.10527820587158203,0.10241961479187012
1,5,1,0,1,5,0.09778265953063965,0.0004092261219246949,0,0.09778265953063965,0,0.0004092261219246949,0,0.0982807731628418,0.09826455116271973
1,5,1,0,1,5,0.10187268257141113,0.0038379390496293413,0,0.10187268257141113,0,0.0038379390496293413,0,0.10524109840393066,0.10521783828735351
1,5,1,0,1,5,0.09869060516357422,0.0029721619765872803,0,0.09869060516357422,0,0.0029721619765872803,0,0.10370459556579589,0.10199141502380371
1,5,0,0.2,1,5,0.14557161331176757,0.09350738096347276,0.33255815505981445,0.09882497787475586,0.0,0.001816107074386375,0,0.32332731246948243,0.24024972915649417
1,5,0,0.2,1,5,0.096868896484375,0.0014031300754647768,0,0.096868896484375,0,0.0014031300754647768,0,0.09839595794677734,0.09810962677001953
1,5,0,0.2,1,5,0.12424497604370117,0.054859703402568405,0.23393487930297852,0.09682250022888184,0.0,0.001422294871136785,0,0.22850010871887205,0.17958717346191408
1,5,0,0.2,1,5,0.14550404548645018,0.09408716339352838,0.333629846572876,0.09847259521484375,0.0,0.0023887907082209294,0,0.3243881607055664,0.2412129878997803
1,5,0,0.2,1,5,0.14723148345947265,0.09186817617306607,0.33090829849243164,0.10131227970123291,0.0,0.0026145502009305285,0,0.32187106132507326,0.24053592681884767
1,5,0.2,0.2,1,5,0.0963897705078125,0.0014464877554412655,0,0.0963897705078125,0,0.0014464877554412655,0,0.09823803901672364,0.0979766845703125
1,5,0.2,0.2,1,5,0.17375831604003905,0.09426402756654108,0.28399693965911865,0.10026590029398601,0.04423058032989502,0.0015633512357735467,0,0.32468907356262205,0.29284305572509767
1,5,0.2,0.2,1,5,0.10017209053039551,0.003695992045941385,0,0.10017209053039551,0,0.003695992045941385,0,0.1039461612701416,0.10355091094970703
1,5,0.2,0.2,1,5,0.09821205139160157,0.004646081376529424,0,0.09821205139160157,0,0.004646081376529424,0,0.1069844913482666,0.10317249298095703
1,5,0.2,0.2,1,5,0.1927051544189453,0.11205264187703054,0.3299063444137573,0.10123769442240398,0.00030672550201416016,0.003243599358810859,0,0.33018853187561037,0.32996768951416017
1,5,0.4,0.2,1,5,0.1429227352142334,0.09313900586464699,0.3291778564453125,0.09635895490646362,0.0,0.001632431948716319,0,0.3199213600158691,0.23661289215087894
1,5,0.4,0.2,1,5,0.14416685104370117,0.09354253427326809,0.3312246799468994,0.09740239381790161,0.0,0.0017846147241724834,0,0.32195674896240234,0.23854537010192872
1,5,0.4,0.2,1,5,0.12533102035522461,0.05543657333001233,0.23610687255859375,0.09763705730438232,0.0,0.002595983611312858,0,0.23073321342468261,0.18237028121948243
1,5,0.4,0.2,1,5,0.15983457565307618,0.09170109489959825,0.328397274017334,0.11769390106201172,0.0,0.04040026277490633,0,0.32276637077331544,0.27208824157714845
1,5,0.4,0.2,1,5,0.0962791919708252,0.002012814981115124,0,0.0962791919708252,0,0.002012814981115124,0,0.09961158752441407,0.09876675605773926
